MaBN,HoTen,NgaySinh,GioiTinh,DiaChi,SDT,SoBHYT,NgheNghiep,DoiTuong,Email,NguoiLienHe,SDT_NguoiLienHe,DiaChiNha,Quan,TinhThanh
BN0015,Vo Binh,15-9-1985,female,"71 Le Loi, District 10, HCMC",84482993270,QN9950256595890,Tu do,Dich Vu,noemail,Vu Oanh,996222422,71 Le Loi,Quận 10,Thành Phố Hồ Chí Minh
BN0016,Dang Linh,2001/13/01,other,"147 Le Loi, Q10, HCMC",abc1234567,BHYT-85540388,Nhan vien van phong,bhyt,dang40@mail.vn,Nguyen Khanh,123456789,147 Le Loi,Quận 10,Thành Phố Hồ Chí Minh
BN0017,Le Khanh,1976/04/26,other,"181 3/2, Q5, HCMC",961060822,2805257702,Hoc sinh,,lekhanh@example.com,Pham Uyên,abc1234567,181 3/2,Quận 5,Thành Phố Hồ Chí Minh
BN0018,Huynh Dung,31/02/2010,other,"182 Nguyen Trai, Tan Binh Dist., HCMC",,3158171302,Hoc sinh,Dich Vu,noemail,,123456789,182 Nguyen Trai,Tan Binh Dist.,Thành Phố Hồ Chí Minh
BN0019,Tran Quynh,,male,"137 Pham Ngu Lao, District 1, HCMC",949226900,HS1708077772782,Hoc sinh,BHYT,tranquynh@,Phan An,abc1234567,137 Pham Ngu Lao,Quận 1,Thành Phố Hồ Chí Minh
BN0020,Bui Binh,not_a_date,other,"178 3/2, Q10, HCMC",961436780,BHYT-01420629,Nhan vien van phong,BHYT,bui83@mail.vn,Huynh An,,178 3/2,Quận 10,Thành Phố Hồ Chí Minh
BN0021,Le Phuong,7-6-1992,other,"49 Nguyen Trai, Quan 1, HCMC",abc1234567,DN3194106504752,Nhan vien van phong,,le48@mail.vn,Nguyen Giang,abc1234567,49 Nguyen Trai,Quận 1,Thành Phố Hồ Chí Minh
BN0022,Vo Phuong,,male,"61 3/2, Tan Binh Dist., HCMC",84724924992,QN7805178720651,Cong nhan,bhyt,vo17@mail.vn,,84450780211,61 3/2,Tan Binh Dist.,Thành Phố Hồ Chí Minh
BN0023,Huynh Giang,not_a_date,female,"198 CMT8, Tan Binh Dist., HCMC",84743129127,QN1307200714489,Engineer,,huynhgiang@example.com,,905783920,198 CMT8,Tan Binh Dist.,Thành Phố Hồ Chí Minh
BN0024,Pham Trang,31/02/2010,other,"177 CMT8, Tan Binh, HCMC",84971452845,HS1996842505739,Engineer,Dich Vu,phamtrang@example.com,,84939432299,177 CMT8,Tan Binh,Thành Phố Hồ Chí Minh
BN0025,Vu Giang,2005/09/05,other,"129 Pham Ngu Lao, Quan 1, HCMC",345918192,DN0078268028696,Nhan vien van phong,bhyt,vugiang@example.com,,906700493,129 Pham Ngu Lao,Quận 1,Thành Phố Hồ Chí Minh
BN0026,Nguyen Son,,female,"54 Nguyen Trai, Q1, HCMC",389172136,QN5990541648298,Nhan vien van phong,Dich Vu,noemail,Nguyen Linh,abc1234567,54 Nguyen Trai,Quận 1,Thành Phố Hồ Chí Minh
BN0027,Vo Phuong,13-9-1987,other,"66 3/2, Quan 1, HCMC",123456789,BHYT-54382833,Hoc sinh,,noemail,Le Hanh,,66 3/2,Quận 1,Thành Phố Hồ Chí Minh
BN0028,Bui Dung,not_a_date,male,"146 Le Loi, District 5, HCMC",abc1234567,BHYT-84861489,Engineer,DV,bui74@mail.vn,Huynh An,84316792074,146 Le Loi,Quận 5,Thành Phố Hồ Chí Minh
BN0029,Dang Uyên,31/02/2010,other,"143 Pham Ngu Lao, Quan 5, HCMC",980389066,HS3959563014528,Hoc sinh,,danguyên@example.com,,383721048,143 Pham Ngu Lao,Quận 5,Thành Phố Hồ Chí Minh
BN0030,Dang Hanh,2001/13/01,male,"184 Pham Ngu Lao, District 1, HCMC",123456789,DN5021043640800,Nhan vien van phong,bhyt,danghanh@,Bui Quynh,,184 Pham Ngu Lao,Quận 1,Thành Phố Hồ Chí Minh
